,recording.id,recording.title,recording.artist-credit-phrase
66,ab25a715-0291-49dd-b786-d90936db6266,Peaches & Cream,112
67,08ba9884-d26b-4f96-8931-2ab1cbc569f7,Peaches & Cream,112
68,bab1793f-a6c0-4c08-bf4d-fefaedfed5f9,Peaches & Cream,112
69,190ac8f8-480a-4f02-9dc5-1e39f4024e18,Peaches and Cream,112
70,76a8723a-6622-43c6-b9cd-b492515cfb73,Peaches & Cream,112
71,4736700f-48d0-4fcf-975d-a0eca31ad4dc,Peaches & Cream,112
72,cc997f5d-a8e1-4c9f-9b77-bc514b6433d5,Peaches and Cream,112
73,2ecfdfe4-8541-4bf5-9b78-0df1b8dc7737,Peaches & Cream,112
74,84df3566-f538-48ba-b9a1-525c62b969f8,Peaches and Cream,112
75,04409925-1165-4c78-9b11-1196e17b129d,Peaches & Cream,112 feat. Diddy
76,a3641271-dac4-4859-a861-fe0419e6baae,Peaches & Cream (Ludacris mix),112
77,32514ced-6a27-46d0-be10-87aa2e99ad8a,Peaches & Cream (instrumental mix),112
78,24c00253-7a9e-4412-8d93-675edf73b3c9,Peaches & Cream (Stripped version),112
79,9d4815d5-88b8-4a55-ad9d-7d26e240d31e,Peaches & Cream (radio mix),112
80,b1219101-8b3f-41e4-84db-d055121da908,Peaches & Cream,112 feat. P. Diddy
81,b7d85d45-083d-47d5-b98e-27f8d4ad5134,Peaches and Cream,112 feat. Puff Daddy
82,ae47c000-9ec0-4262-9765-5b052a0820e7,Peaches & Cream,112 feat. P. Diddy
83,6402eb4e-66f8-41ce-b4e0-3e8c32811633,Peaches and Cream,112 feat Sean Combs
84,4c9d4420-8b58-41ed-aff8-5a9f79a2f44e,Peaches & Cream,112 feat. P. Diddy
85,48044834-1851-4075-9fa3-8b471d80b52e,Peaches & Cream,112 feat. P. Diddy
86,3e89325e-3eef-46ac-9c5c-2b6dcad64e58,Peaches & Cream (P. Diddy mix),112
87,2d3e0248-b823-448e-b39c-07c3a6fed1b8,Peaches & Cream (remix without rap),112
88,fbf9e86b-3a11-4a08-b77d-1432e1e243c9,Anywhere,112 feat. Shyne & Lil' Z
89,a3a83a74-ee64-453f-8ced-05f1c7251777,Anywhere,"Wav3motion, Lucky Z & Ken Delrio"
90,c1ac5a1a-09f2-41f0-b6ca-8ead1730c18b,Anywhere (remix),112 feat. Shyne & Lil' Z
91,8572c87f-e6f1-477d-8c58-af5b28a07d72,Anywhere (radio mix),112 feat. Lil’ Z
92,8c5af1f4-2191-43b8-8f10-7a8e08027b61,Anywhere (extended mix),"Wav3motion, Lucky Z & Ken Delrio"
93,58acb85c-b4ce-4622-bd76-607e499cd317,Anywhere (call out research hook),112 feat. Lil’ Z
94,3f75c679-8246-431e-bd6f-8b6d2bbeffd5,Hot & Wet,112 feat. Ludacris
95,1716b802-09e8-4005-8e01-d112ee19f880,Hot & Wet,112 feat. Ludacris
96,9ec138bc-942d-4e75-8db0-faf357fd138a,Hot & Wet,112 feat. Ludacris
97,fcda62c8-efd6-4b73-b76c-2e104d2501de,Hot and Wet (DJ remix),112 feat. Ludacris
98,c8c2030e-1218-4dc0-8b4f-6b352f29e445,Hot & Wet (remix),112 feat. Ludacris & Chingy
99,35fe7ecf-77c0-4678-b439-72bb8815e6ec,Hot & Wet (remix),Ghostface Killah feat. Ludacris & Chingy
100,523a7de9-99de-4afc-a870-b93e635aa78b,Love Me (Verse),Mase
101,6cc02444-d06d-4541-bdc4-ab83192e4ae7,Love Me,112 feat. Mase
102,07bc1bd9-1ff6-43e7-b68b-85ac9554fdaf,Love Me,112 feat. Mase
103,43d127dc-1f95-4743-a929-7af2e1e9632c,Love Me (instrumental),112 feat. Mase
104,f9f77ccc-fd3b-4b1c-af98-be5f708b25cd,Na Na Na Na,112 feat. Super Cat
105,8d7c9d79-58b2-40be-9576-c289c30481f5,Changes,2Pac
106,c1209dd4-3495-42a7-879f-bfc55f53f4e8,Changes,2Pac
107,6d6a61cd-bb04-4051-aa20-44ba58568d63,Changes,2Pac
108,721346a6-6635-41e7-bcb8-39c801901778,Changes,2Pac
109,eba985a1-30a4-4f65-883a-6a91a83a3fa8,Changes,2Pac
110,6d17534a-7cf2-45e3-923b-7b415e554948,Changes,2Pac
111,8d39e493-20ac-4b17-beb7-babbc92bd79a,Changes,2Pac
112,6c18b7ad-29f6-4239-8fcd-68c167638072,Changes,2Pac
113,66902eea-92a6-4980-af6e-babb888d1508,Ghetto Changes,2Pac
114,94c48836-5f2e-4688-a1a2-8b39277a05c2,Changes (remix),2Pac
115,63c8ff1b-6c6c-4617-866f-db2844a1e508,Changes (original),2Pac
116,98b898ab-d907-453c-a54f-eb408922f53f,Changes (instrumental),2Pac
117,005f75d3-22c0-42d6-91ca-f1ea4bdbe75a,Changes (radio edit),2Pac
118,86138c99-2cf9-4810-bfc2-332f53041e49,Changes,2Pac feat. Talent
119,6b0df588-686d-4c89-97ce-ba1db77f5e56,Changes,2Pac feat. Talent
120,5a151012-3d24-4a28-9a47-fd3965525f92,Changes,2Pac feat. Roniece
121,e9ee26ab-f152-4572-8642-ea2c13bd04a4,Changes (Tony Kenyon Mix),2Pac
122,11fda718-6fda-4cae-b40c-f9e35be1108c,Changes (DJ Veli mix),2Pac
123,82b80c3e-1c74-43dd-9c3d-4ecfeba78904,Changes (remix),DMX feat. 2Pac
124,db73be46-48bd-49da-8a0e-120e38679eaa,Miraculous Changes,Nipsey & 2Pac presented by David Begun
125,3a3744fd-2bc5-4164-9a0d-c47b9c5c7460,"No Doubt / Nasty Girl / That’s the Rapper / Hard to Kill / Time to Move On (Choice remix) / If You Really Wanna Know / Ground Up / Bounce, Rock, Skate, Roll / Changes / Incredible / Are You in Love? / 5 Boroughs / Like It Like That / One Man","Imajin / Kasino / Mystikal / Spice 1 featuring Method Man / Sparkle featuring Vegas Cats / Marc Dorsey / E‐40 featuring K‐Ci and JoJo / Baby DC featuring Imajin / 2Pac / Keith Murray featuring LL Cool J / Jane Blaze / KRS‐One featuring Buckshot, Cam’ron, Keith Murray, Prodigy, Run and Vigilante / A Tribe Called Quest / R. Kelly"
126,b8c564de-fda4-458e-a3c5-132e14c5fe5c,Thugz Mansion,2Pac
127,8094defc-2622-4937-9c64-52a3acc5f818,Thugz Mansion,2Pac
128,74e064f1-d302-472f-acde-b37a0744ba03,Thugz Mansion,2Pac
129,95cce890-f442-44f6-8277-d84d404ce785,Thugz Mansion,2Pac
130,602127c3-618a-4734-8a24-8449d68ac221,Thugz Mansion,2Pac
131,1f418b11-abc4-470a-ba2c-dcbb2c426036,Thugz Mansion (Slippin’),2Pac
132,56994e4e-27d0-43bc-bfff-f42a9d01de46,Thugz Mansion II,2Pac
