,recording.title,recording.artist-credit-phrase
142,Thugz Mansion (BD demo remix),2Pac
143,Thugz Mansion (2Pac original) (acoustic),2Pac
144,Thugz Mansion (acoustic),2Pac feat. Nas & J. Phoenix
145,Thugz Mansion (Chill version),Nas feat. 2Pac
146,Thugz Mansion (BD demo acoustic remix),2Pac
147,Thugz Mansion (radio version),2Pac feat. Anthony Hamilton
148,Thugz Mansion (7 remix),2Pac feat. Anthony Hamilton
149,Thugz Mansion (Cookin Soul remix),Nas feat. 2Pac
150,Thugz Mansion (N.Y.),Nas feat. 2Pac & J. Phoenix
151,Until the End of Time,2Pac
152,Until the End of Time,2Pac
153,Until the End of Time,2Pac
154,Until the End of Time,2Pac
155,Until the End of Time,2Pac
156,Until the End of Time (remix),2Pac
157,Until the End of Time (video),2Pac
158,Until the End of Time,2Pac feat. 6.9
159,Until the End of Time,2Pac feat. RL
160,Until The End of Time,2Pac feat. RL
161,Until the End of Time,2Pac featuring R.L.
162,Until the End of Time,2Pac feat. RL
163,Until the End of Time (original version),2Pac
164,Until the End of Time,2Pac feat. Sixx Nine
165,Until the End of Time,2Pac feat. RL & Anthem
166,Until the End of Time,2Pac feat. K‐Ci & JoJo
167,Until the End of Time (Don't B Afraid Remix),2Pac
168,Until the End of Time (RP remix),2Pac feat. Richard Page
169,Until the End of Time (RP remix),2Pac featuring Richard Page
170,Baby Don't Cry,2Pac feat. Outlawz
171,Baby Don't Cry,2Pac feat. Outlawz
172,Baby Don’t Cry (OG),2Pac & Outlawz
173,Baby Don’t Cry (Keep Ya Head Up II),2Pac + Outlawz
174,Baby Don't Cry (Keep Ya Head Up II),2Pac & Outlawz
175,Baby Don't Cry (Keep Ya Head Up II),2Pac & Outlawz
176,Baby Don’t Cry (Keep Ya Head Up II) (instrumental),2Pac and Outlawz
177,Baby Don’t Cry (Keep Ya Head Up II) (a cappella),2Pac and Outlawz
178,Baby Don’t Cry (Keep Ya Head Up II) (clean version),2Pac + Outlawz
179,"Baby Don’t Cry (Keep Ya Head Up II) (Trackmasters remix, dirty version)",2Pac and Outlawz
180,Still Ballin’ (instrumental),2Pac featuring Trick Daddy
181,Still Ballin’ (clean),2Pac featuring Trick Daddy
182,Still Ballin’ (Nitty remix),2Pac featuring Trick Daddy
183,Away From the Sun,3 Doors Down
184,Away From the Sun,3 Doors Down
185,Away From the Sun,3 Doors Down
186,Away From the Sun,3 Doors Down
187,Away From the Sun,3 Doors Down
188,Away From the Sun,3 Doors Down
189,Away From the Sun,3 Doors Down
190,Away From the Sun,3 Doors Down
191,Away From the Sun,3 Doors Down
192,Away From the Sun (acoustic),3 Doors Down
193,Away From the Sun (video),3 Doors Down
194,Away From the Sun (acoustic),3 Doors Down
195,Away From the Sun (alternate mix),3 Doors Down
196,Away From the Sun (album version),3 Doors Down
197,Away From the Sun (5.1 mix),3 Doors Down
198,Away From the Sun (Dolby Stereo),3 Doors Down
199,Away from the Sun (iTunes Originals Version),3 Doors Down
200,The Making of Away From the Sun,3 Doors Down
201,Away From the Sun (Dolby Surround Sound),3 Doors Down
202,"Away From the Sun (live at Cynthia Woods Mitchell Pavillion, Houston, TX, 2003)",3 Doors Down
203,Be Like That,3 Doors Down
204,Be Like That,3 Doors Down
205,Be Like That,3 Doors Down
206,Be Like That,3 Doors Down
207,Be Like That,3 Doors Down
208,Be Like That,3 Doors Down
209,Be Like That,3 Doors Down
210,Be Like That,3 Doors Down
211,Be Like That,3 Doors Down
212,Be Like That,3 Doors Down
213,Be Like That,3 Doors Down
214,Be Like That,3 Doors Down
215,Be Like That (acoustic),3 Doors Down
216,Be Like That (acoustic),3 Doors Down
217,Be Like That (radio edit),3 Doors Down
218,Be Like That (acoustic version),3 Doors Down
219,Be Like That (American Pie edit),3 Doors Down
220,If I Could Be Like That,3 Doors Down
221,Be Like That (American Pie edit),3 Doors Down
222,"Be Like That (live at Cynthia Woods Mitchell Pavillion, Houston, TX, 2003)",3 Doors Down
223,Here Without You,3 Doors Down
224,Here Without You,3 Doors Down
225,Here Without You,3 Doors Down
226,Here Without You,3 Doors Down
227,Here Without You,3 Doors Down
228,Here Without You,3 Doors Down
229,Here Without You,3 Doors Down
230,Here Without You,3 Doors Down
231,Here Without You,3 Doors Down
232,Here Without You,3 Doors Down
233,Here Without You,3 Doors Down
234,Here Without You,3 Doors Down
235,Here Without You,3 Doors Down
236,Here Without You,3 Doors Down
237,Here Without You,3 Doors Down
238,Here Without You,3 Doors Down
239,Here Without You,3 Doors Down
240,Here Without You,3 Doors Down
241,Here Without You,3 Doors Down
242,Here Without You,3 Doors Down
243,Here Without You,3 Doors Down
244,Here Without You,3 Doors Down
245,Here Without You,3 Doors Down
246,Here Without You (live),3 Doors Down
247,Here Without You (acoustic),3 Doors Down
248,Kryptonite,3 Doors Down
249,Kryptonite,3 Doors Down
250,Kryptonite,3 Doors Down
251,Kryptonite,3 Doors Down
252,Kryptonite,3 Doors Down
253,Kryptonite,3 Doors Down
254,Kryptonite,3 Doors Down
255,Kryptonite,3 Doors Down
256,Kryptonite,3 Doors Down
257,Kryptonite,3 Doors Down
258,Kryptonite,3 Doors Down
259,Kryptonite,3 Doors Down
260,Kryptonite,3 Doors Down
261,Kryptonite,3 Doors Down
262,Kryptonite,3 Doors Down
263,Kryptonite,3 Doors Down
264,Kryptonite,3 Doors Down
265,Kryptonite,3 Doors Down
266,Kryptonite,3 Doors Down
267,Kryptonite,3 Doors Down
268,Kryptonite,3 Doors Down
269,Kryptonite,3 Doors Down
270,Kryptonite,3 Doors Down
271,Kryptonite (instrumental),3 Doors Down
272,Kryptonite (live),3 Doors Down
273,Loser,3 Doors Down
274,Loser,3 Doors Down
275,Loser,3 Doors Down
276,Loser,3 Doors Down
277,Loser,3 Doors Down
278,Loser,3 Doors Down
279,Loser,3 Doors Down
280,Loser,3 Doors Down
281,Loser,3 Doors Down
282,Loser,3 Doors Down
283,Loser,3 Doors Down
284,Loser,3 Doors Down
285,Loser,3 Doors Down
286,Loser,3 Doors Down
287,Loser,3 Doors Down
288,Loser,3 Doors Down
289,Loser,3 Doors Down
290,Loser,3 Doors Down
291,Loser,3 Doors Down
292,Sore Loser,41 Down
293,Loser (acoustic),3 Doors Down
294,Loser (live),3 Doors Down
295,Loser (acoustic),3 Doors Down
296,Loser (live),3 Doors Down
297,Loser (live),3 Doors Down
298,When I’m Gone,3 Doors Down
299,When I'm Gone,3 Doors Down
300,When I’m Gone,3 Doors Down
301,When I'm Gone,3 Doors Down
302,When I’m Gone,3 Doors Down
303,When I'm Gone,3 Doors Down
304,When I'm Gone,3 Doors Down
305,When I'm Gone,3 Doors Down
306,When I'm Gone,3 Doors Down
307,When I’m Gone,3 Doors Down
308,When I’m Gone,3 Doors Down
309,When I’m Gone,3 Doors Down
310,When I’m Gone,3 Doors Down
311,When I’m Gone,3 Doors Down
312,When I’m Gone (intro),3 Doors Down
313,When I’m Gone (5.1 mix),3 Doors Down
314,When I’m Gone (5.1 audio),3 Doors Down
315,When I'm Gone (Dolby Stereo),3 Doors Down
316,When I'm Gone (Dolby Surround Sound),3 Doors Down
317,Don't You Miss Me When I'm Gone,"Sit Down, Servant!!"
318,"When I'm Gone (live at Cynthia Woods Mitchell Pavillion, Houston, TX, 2003)",3 Doors Down
319,Love Song,311
320,Love Song,311
321,Love Song,311
322,Love Song (single version),311
323,Love Song (Cirrus club mix),311
324,Love Song (Alone with You trance mix),311
325,Love Song (Cirrus club mix - radio edit),311
326,Love Song (Alone with You trance mix - radio edit),311
327,No More,3LW
328,No More,3LW
329,No More,3LW
330,No More,3LW
331,No More (instrumental),3LW
332,No More (a cappella),3LW
333,No More (Baby I’Ma Do Right),3LW
334,No More (Baby I'ma Do Right),3LW
335,No More (Baby I’ma Do Right),3LW
336,No More (E-Jam Street mix),3LW
337,No More (Baby I'ma Do Right),3LW
338,No More (Baby I’ma Do Right),3LW
339,No More (Baby I’ma Do Right),3LW
340,No More (Baby I’Ma Do Right),3LW
341,No More (Baby I’ma Do Right),3LW
342,No More (Baby I’Ma Do Right),3LW
343,No More (Baby I'ma Do Right),3LW
344,I Can't Take It (No More),3LW
345,No More (Baby I’ma Do Right),3LW
346,No More (Baby I'ma Do Right),3LW
347,No More (Baby I'ma Do Right),3LW
348,No More (Baby I'ma Do Right),3LW
349,No More (Baby I'ma Do Right),3LW
350,No More (Baby I'ma Do Right),3LW
351,No More (Baby I’ma Do Right),3LW
352,Playas Gon' Play,3LW
353,Playas Gon’ Play,3LW
354,Playas Gon' Play,3LW
355,Playas Gon’ Play,3LW
356,I Do,3LW feat. Mario Winans & Loon
357,I Do (Wanna Get Close to You),3LW feat. Loon
358,I Do (Wanna Get Close to You),3LW feat. Loon
359,I Do (Wanna Get Close to You),3LW feat. Loon
360,I Do (Wanna Get Close to You),3LW feat. The Loon
361,I Do (Wanna Get Close to You),3LW feat. P. Diddy & Loon
362,I Do (Wanna Get Close to You) (hook),3LW feat. P. Diddy & Loon
363,Disco Inferno,50 Cent
364,Disco Inferno,50 Cent
365,Disco Inferno,50 Cent
366,Disco Inferno,50 Cent
367,Disco Inferno,50 Cent
368,Disco Inferno,50 Cent
369,Disco Inferno,50 Cent
370,Disco Inferno,50 Cent
371,Disco Inferno,50 Cent
372,Disco Inferno,50 Cent
373,Disco Inferno (edited),50 Cent
374,Disco Inferno (instrumental),50 Cent
375,Disco Inferno (Reggaeton remix),50 Cent
376,Disco Inferno (a cappella),50 Cent
377,Disco Inferno (a cappella),50 Cent
378,Babylon Night Club (Disco Inferno),50 Cent
379,Disco Inferno vs. Let’s Dance,50 Cent vs. David Bowie
380,Disco Inferno (Co-Stars remix) (instrumental),50 Cent feat. Diamonique
381,Disco Inferno (Co-Stars remix) (radio),50 Cent feat. Diamonique
382,Disco Inferno (Co-Stars remix) (a cappella),50 Cent feat. Diamonique
383,Disco Inferno vs. Last Night a DJ Saved My Life,50 Cent vs. Indeep
384,Disco Inferno Mice (Glenn-D Mashup) (Acapella Intro) (Dirty),50 Cent x Aitch by Glenn-D
385,If I Can't,50 Cent
386,If I Can’t,50 Cent
387,If I Can’t,50 Cent
388,If I Can't,50 Cent
389,If I can't,50 Cent
390,If I Can't,50 Cent
391,If I Can’t,50 Cent
392,If I Can’t,50 Cent
393,If I Can't (remix),50 Cent
394,If I Can't (Clean),50 Cent
395,If I Can't (Instrumental),50 Cent
396,If I Can't,50 Cent feat. G‐Unit
397,If I Can't,50 Cent feat. Jay‐Z
398,If I Can't (remix),50 Cent feat. Jay‐Z
399,If I Can't (DJ Vlad remix),The Notorious B.I.G. & 50 Cent
400,In da Club,50 Cent
401,In da Club,50 Cent
402,In da Club,50 Cent
403,In da Club,50 Cent
404,In da Club,50 Cent
405,In da Club,50 Cent
406,In da Club,50 Cent
407,In da Club,50 Cent
408,In da Club,50 Cent
409,In da Club,50 Cent
410,In da Club,50 Cent
411,In da Club,50 Cent
412,In da club,50 Cent
413,In da Club,50 Cent
414,In da Club,50 Cent
415,In da Club,50 Cent
416,In da Club,50 Cent
417,In da Club,50 Cent
418,In da Club,50 Cent
419,In da Club,50 Cent
420,In da Club,50 Cent
421,In da Club,50 Cent
422,In Da Club,50 Cent
423,In da Club,50 Cent
424,In Da Club,50 Cent
425,P.I.M.P.,50 Cent
426,P.I.M.P.,50 Cent
427,P.I.M.P.,50 Cent
428,P.I.M.P.,50 Cent
429,Pimp,50 Cent
430,P.I.M.P.,50 Cent
431,P.I.M.P.,50 Cent
432,Pimp (remix),50 Cent
433,Queens Pimp,50 Cent
434,Pimp (remix),50 Cent
435,Super Pimp,50 Cent
436,P.I.M.P. (explicit),50 Cent
437,Queens Pimp,50 Cent
438,Queens Pimp,50 Cent
439,P.I.M.P.,50 Cent & Kool Savas
440,Pimp,50 Cent & L. Banks
441,P.I.M.P. (remix instrumental),50 Cent
442,P.I.M.P. (uncensored version),50 Cent
443,"Pimp, Part 2",50 Cent
444,PIMP (rmx),50 Cent & Snoop
445,P.I.M.P. (Live Glasgow Version),50 Cent
446,p.i.m.p. (Mr. Carmack remix),50 Cent
447,P.I.M.P. (live in Hawaii),50 Cent
448,P.I.M.P. (Amended album version),50 Cent
449,P.I.M.P (remix),50 Cent feat. Snoop Dogg
450,Wanksta,50 Cent
451,Wanksta,50 Cent
452,Wanksta,50 Cent
453,Wanksta,50 Cent
454,Wanksta,50 Cent
455,Wanksta,50 Cent
456,Wanksta,50 Cent
457,Wanksta,50 Cent
458,Wanksta,50 Cent
459,Wanksta,50 Cent
460,Wanksta,50 Cent
461,Wanksta,50 Cent
462,Wanksta,50 Cent
463,Wanksta,50 Cent
464,Wanksta (instrumental),50 Cent
465,Wanksta (remix),50 Cent
466,Wanksta (instrumental),50 Cent
467,Wanksta,50 Cent & G‐Unit
468,Wanksta (the video),50 Cent
469,Wanksta (Rev's version),50 Cent
470,Wanksta (remix),50 Cent feat. Flipmode Squad
471,Wanksta Remix,50 Cent feat. Flipmode Squad
472,Wanksta (Dr. Phill remix),50 Cent
473,Wanksta (Sessions @ AOL),50 Cent
474,Wanksta: Behind the Scenes,50 Cent
475,21 Questions,50 Cent vs. Nate Dogg
476,21 Questions,50 Cent feat. Nate Dogg
477,21 Questions,50 Cent feat. Nate Dogg
478,21 Questions,50 Cent feat. Nate Dogg
479,21 Questions,50 Cent feat. Nate Dogg
480,21 Questions,50 Cent feat. Nate Dogg
481,21 Questions,50 Cent feat. Nate Dogg
482,21 Questions,J.Period & Nate Dogg f. 50 Cent
483,21 Questions (instrumental),50 Cent featuring Nate Dogg
484,21 Questions (clean),50 Cent featuring Nate Dogg
485,21 Questions (a cappella),50 Cent feat. Nate Dogg
486,21 Questions (the video),50 Cent feat. Nate Dogg
