ISRC,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
USRC17005610,The Wonder of You (Alternate Take) - Live,Elvis Presley,0.485,0.486,7,-10.763,1,0.0267,0.745,0.0331,0.284,0.615,86.98,audio_features,5vm64FZj0YAO6prY5QbkV5,spotify:track:5vm64FZj0YAO6prY5QbkV5,https://api.spotify.com/v1/tracks/5vm64FZj0YAO6prY5QbkV5,https://api.spotify.com/v1/audio-analysis/5vm64FZj0YAO6prY5QbkV5,157133,4
USSM10414233,The Makings Of A Perfect Bitch,Nas,0.631,0.734,1,-6.715,1,0.282,0.0574,0.0,0.0464,0.545,92.526,audio_features,0fUrQl4cP1lKUMWk7euFHk,spotify:track:0fUrQl4cP1lKUMWk7euFHk,https://api.spotify.com/v1/tracks/0fUrQl4cP1lKUMWk7euFHk,https://api.spotify.com/v1/audio-analysis/0fUrQl4cP1lKUMWk7euFHk,195520,4
USAR10100238,How Do I Say,USHER,0.664,0.706,8,-7.593,1,0.0463,0.117,7.15e-06,0.323,0.645,87.958,audio_features,1JQJxZ8qnkltxt7rU60Wa6,spotify:track:1JQJxZ8qnkltxt7rU60Wa6,https://api.spotify.com/v1/tracks/1JQJxZ8qnkltxt7rU60Wa6,https://api.spotify.com/v1/audio-analysis/1JQJxZ8qnkltxt7rU60Wa6,339107,4
GBAJH9900275,New Dress,Depeche Mode,0.635,0.491,0,-15.557,1,0.0323,0.00146,0.171,0.0426,0.785,114.164,audio_features,6W4sRzEhwJlfCSilCb3SsE,spotify:track:6W4sRzEhwJlfCSilCb3SsE,https://api.spotify.com/v1/tracks/6W4sRzEhwJlfCSilCb3SsE,https://api.spotify.com/v1/audio-analysis/6W4sRzEhwJlfCSilCb3SsE,223867,4
USCA21100547,Too Many Rappers - New Reactionaries Version,Beastie Boys,0.627,0.872,11,-4.388,0,0.158,0.00566,0.0,0.522,0.548,93.728,audio_features,22hR7aDYKZrPKH18YLlyaV,spotify:track:22hR7aDYKZrPKH18YLlyaV,https://api.spotify.com/v1/tracks/22hR7aDYKZrPKH18YLlyaV,https://api.spotify.com/v1/audio-analysis/22hR7aDYKZrPKH18YLlyaV,291800,4
USBB49901001,Feel So Good,Mase,0.82,0.65,1,-10.287,0,0.233,0.215,0.0,0.101,0.577,105.17,audio_features,1aMYYkwQOJSMqQFATH2g9H,spotify:track:1aMYYkwQOJSMqQFATH2g9H,https://api.spotify.com/v1/tracks/1aMYYkwQOJSMqQFATH2g9H,https://api.spotify.com/v1/audio-analysis/1aMYYkwQOJSMqQFATH2g9H,203867,4
USUR10200352,Dem Boyz,Nelly,0.803,0.613,9,-8.664,0,0.111,0.139,1.58e-06,0.124,0.882,158.044,audio_features,5cOnGunlNxHkK3oYOFXihm,spotify:track:5cOnGunlNxHkK3oYOFXihm,https://api.spotify.com/v1/tracks/5cOnGunlNxHkK3oYOFXihm,https://api.spotify.com/v1/audio-analysis/5cOnGunlNxHkK3oYOFXihm,274467,4
USRC11802279,Like I Do (feat. GoldLink),Christina Aguilera,0.848,0.573,1,-4.8,1,0.186,0.276,0.0,0.0896,0.28,105.912,audio_features,6iacLDB05P5i7uC1pSY7Wz,spotify:track:6iacLDB05P5i7uC1pSY7Wz,https://api.spotify.com/v1/tracks/6iacLDB05P5i7uC1pSY7Wz,https://api.spotify.com/v1/audio-analysis/6iacLDB05P5i7uC1pSY7Wz,289347,4
USIR10400114,American Psycho II,D12,0.646,0.83,6,-4.456,0,0.32,0.403,0.0,0.138,0.71,93.364,audio_features,0Qr9Dl5b43RAZuXTSqzBzu,spotify:track:0Qr9Dl5b43RAZuXTSqzBzu,https://api.spotify.com/v1/tracks/0Qr9Dl5b43RAZuXTSqzBzu,https://api.spotify.com/v1/audio-analysis/0Qr9Dl5b43RAZuXTSqzBzu,224240,4
USSM18900360,Si Voy a Perderte,Gloria Estefan,0.568,0.348,5,-12.209,1,0.0257,0.578,0.0,0.102,0.436,82.251,audio_features,09yXE7yctfuh2ZwhBueE36,spotify:track:09yXE7yctfuh2ZwhBueE36,https://api.spotify.com/v1/tracks/09yXE7yctfuh2ZwhBueE36,https://api.spotify.com/v1/audio-analysis/09yXE7yctfuh2ZwhBueE36,247160,4
USA2P2021171,Life Story - Booker T Dub,Angie Stone,0.802,0.885,0,-7.541,0,0.0414,0.000264,0.0242,0.0393,0.822,126.006,audio_features,2YTOMwNJsu5AAHDwUGAyu3,spotify:track:2YTOMwNJsu5AAHDwUGAyu3,https://api.spotify.com/v1/tracks/2YTOMwNJsu5AAHDwUGAyu3,https://api.spotify.com/v1/audio-analysis/2YTOMwNJsu5AAHDwUGAyu3,369632,4
USVR11500005,Outside - from 'Senior Trip' OST - 1996,311,0.732,0.792,7,-7.76,1,0.113,0.0409,2.21e-06,0.324,0.886,102.571,audio_features,5n3N6UuPZG2BjszYIpxxMq,spotify:track:5n3N6UuPZG2BjszYIpxxMq,https://api.spotify.com/v1/tracks/5n3N6UuPZG2BjszYIpxxMq,https://api.spotify.com/v1/audio-analysis/5n3N6UuPZG2BjszYIpxxMq,115960,4
USIR10110029,Who's That Girl?,Eve,0.77,0.86,6,-3.702,1,0.19,0.0159,0.000713,0.0682,0.547,96.428,audio_features,3uVE5vLKkigiWBOQEgmdDk,spotify:track:3uVE5vLKkigiWBOQEgmdDk,https://api.spotify.com/v1/tracks/3uVE5vLKkigiWBOQEgmdDk,https://api.spotify.com/v1/audio-analysis/3uVE5vLKkigiWBOQEgmdDk,281907,4
