danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,ISRC
0.546,0.698,9,-10.136,1,0.0385,0.0627,0.000931,0.0781,0.669,188.022,audio_features,5bCXdUVF5gxWkBJWnt6ClT,spotify:track:5bCXdUVF5gxWkBJWnt6ClT,https://api.spotify.com/v1/tracks/5bCXdUVF5gxWkBJWnt6ClT,https://api.spotify.com/v1/audio-analysis/5bCXdUVF5gxWkBJWnt6ClT,208227,4,CAA160309701
0.547,0.617,9,-13.063,1,0.0403,0.0607,0.00228,0.0717,0.667,188.07,audio_features,5ggkY6zou5IZRbZRCt3E53,spotify:track:5ggkY6zou5IZRbZRCt3E53,https://api.spotify.com/v1/tracks/5ggkY6zou5IZRbZRCt3E53,https://api.spotify.com/v1/audio-analysis/5ggkY6zou5IZRbZRCt3E53,209467,4,JPTO09622580
0.559,0.772,0,-6.947,1,0.033,0.000553,0.0332,0.435,0.477,113.875,audio_features,7fFJ4nfi1mnQ10J8YAu9Di,spotify:track:7fFJ4nfi1mnQ10J8YAu9Di,https://api.spotify.com/v1/tracks/7fFJ4nfi1mnQ10J8YAu9Di,https://api.spotify.com/v1/audio-analysis/7fFJ4nfi1mnQ10J8YAu9Di,218135,4,USAL19800023
0.568,1.0,11,-2.418,0,0.0726,0.00094,0.799,0.331,0.145,130.011,audio_features,4UuEljdIyLeilkOmWEzaZQ,spotify:track:4UuEljdIyLeilkOmWEzaZQ,https://api.spotify.com/v1/tracks/4UuEljdIyLeilkOmWEzaZQ,https://api.spotify.com/v1/audio-analysis/4UuEljdIyLeilkOmWEzaZQ,446580,4,QMB2P1800023
0.408,0.827,2,-7.741,1,0.0344,0.00331,1.7e-06,0.174,0.642,85.815,audio_features,30OAOWY18H9bHl5BC78vTE,spotify:track:30OAOWY18H9bHl5BC78vTE,https://api.spotify.com/v1/tracks/30OAOWY18H9bHl5BC78vTE,https://api.spotify.com/v1/audio-analysis/30OAOWY18H9bHl5BC78vTE,263413,4,SEAYD7702010
0.481,0.762,2,-6.698,1,0.0263,0.217,9.75e-06,0.204,0.549,85.189,audio_features,4oUULS48sF2yUGJW0nptGz,spotify:track:4oUULS48sF2yUGJW0nptGz,https://api.spotify.com/v1/tracks/4oUULS48sF2yUGJW0nptGz,https://api.spotify.com/v1/audio-analysis/4oUULS48sF2yUGJW0nptGz,350827,4,SEAYD7702011
0.684,0.675,11,-8.123,1,0.0257,0.163,0.0,0.242,0.924,107.064,audio_features,5BckPAYcKEJuYs1eV1BHHe,spotify:track:5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/tracks/5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/audio-analysis/5BckPAYcKEJuYs1eV1BHHe,243933,4,SEAYD7702020
0.484,0.524,9,-7.931,1,0.0263,0.533,2.24e-05,0.148,0.55,71.83,audio_features,3iqD3KSvY3DpdkKdNpG5I9,spotify:track:3iqD3KSvY3DpdkKdNpG5I9,https://api.spotify.com/v1/tracks/3iqD3KSvY3DpdkKdNpG5I9,https://api.spotify.com/v1/audio-analysis/3iqD3KSvY3DpdkKdNpG5I9,275160,4,SEAYD7702030
0.621,0.647,9,-7.059,1,0.0287,0.279,7.7e-05,0.0464,0.663,76.805,audio_features,24VQsavEUczh0pcRqgIqlq,spotify:track:24VQsavEUczh0pcRqgIqlq,https://api.spotify.com/v1/tracks/24VQsavEUczh0pcRqgIqlq,https://api.spotify.com/v1/audio-analysis/24VQsavEUczh0pcRqgIqlq,292453,4,SEAYD7702040
0.57,0.556,10,-8.903,1,0.0251,0.322,3.21e-06,0.779,0.797,97.36,audio_features,3JqQ2YBFQwinmY2E9Ujggu,spotify:track:3JqQ2YBFQwinmY2E9Ujggu,https://api.spotify.com/v1/tracks/3JqQ2YBFQwinmY2E9Ujggu,https://api.spotify.com/v1/audio-analysis/3JqQ2YBFQwinmY2E9Ujggu,283053,3,SEAYD7702050
0.395,0.811,4,-5.546,1,0.0945,0.0767,0.0159,0.342,0.615,154.708,audio_features,3bqPiLwxU0sltObhhVky9X,spotify:track:3bqPiLwxU0sltObhhVky9X,https://api.spotify.com/v1/tracks/3bqPiLwxU0sltObhhVky9X,https://api.spotify.com/v1/audio-analysis/3bqPiLwxU0sltObhhVky9X,221093,4,SEAYD7702060
0.283,0.417,4,-9.124,1,0.0404,0.835,0.0,0.102,0.373,201.145,audio_features,08GOw3NsrJ0LsCCeyqzt3b,spotify:track:08GOw3NsrJ0LsCCeyqzt3b,https://api.spotify.com/v1/tracks/08GOw3NsrJ0LsCCeyqzt3b,https://api.spotify.com/v1/audio-analysis/08GOw3NsrJ0LsCCeyqzt3b,229453,4,SEAYD7702080
0.372,0.25,0,-11.126,1,0.0281,0.524,4.8e-05,0.119,0.227,135.396,audio_features,3F814TK36gzKsUxBJ3V3iI,spotify:track:3F814TK36gzKsUxBJ3V3iI,https://api.spotify.com/v1/tracks/3F814TK36gzKsUxBJ3V3iI,https://api.spotify.com/v1/audio-analysis/3F814TK36gzKsUxBJ3V3iI,272693,4,SEAYD7702090
0.458,0.662,4,-6.811,0,0.0396,0.376,1.16e-05,0.108,0.137,149.907,audio_features,1ajok0m1FDgGtrBguMIy5Q,spotify:track:1ajok0m1FDgGtrBguMIy5Q,https://api.spotify.com/v1/tracks/1ajok0m1FDgGtrBguMIy5Q,https://api.spotify.com/v1/audio-analysis/1ajok0m1FDgGtrBguMIy5Q,243720,3,SEAYD7702100
0.652,0.436,2,-7.464,1,0.0283,0.666,0.0,0.279,0.562,98.605,audio_features,59l71sxjX2oBVPQGYlqvnb,spotify:track:59l71sxjX2oBVPQGYlqvnb,https://api.spotify.com/v1/tracks/59l71sxjX2oBVPQGYlqvnb,https://api.spotify.com/v1/audio-analysis/59l71sxjX2oBVPQGYlqvnb,243560,4,SEAYD7702110
0.529,0.932,5,-4.021,0,0.0337,0.000673,0.000631,0.245,0.547,131.918,audio_features,59F2jiJLKL1FgLVuVkAN7T,spotify:track:59F2jiJLKL1FgLVuVkAN7T,https://api.spotify.com/v1/tracks/59F2jiJLKL1FgLVuVkAN7T,https://api.spotify.com/v1/audio-analysis/59F2jiJLKL1FgLVuVkAN7T,219452,4,QMB2P1800029
0.271,0.833,1,-6.999,0,0.042,1.57e-05,0.00275,0.257,0.305,190.779,audio_features,6U8koDtkewQRZPl4X3xQxs,spotify:track:6U8koDtkewQRZPl4X3xQxs,https://api.spotify.com/v1/tracks/6U8koDtkewQRZPl4X3xQxs,https://api.spotify.com/v1/audio-analysis/6U8koDtkewQRZPl4X3xQxs,313227,4,AUWA09800040
0.399,0.982,6,-4.832,0,0.16,0.0003,0.000204,0.0947,0.224,160.264,audio_features,0K3Xm2MeSXKbvydIJfTpuN,spotify:track:0K3Xm2MeSXKbvydIJfTpuN,https://api.spotify.com/v1/tracks/0K3Xm2MeSXKbvydIJfTpuN,https://api.spotify.com/v1/audio-analysis/0K3Xm2MeSXKbvydIJfTpuN,260973,4,GBDNH0400620
0.47,0.952,11,-3.641,0,0.134,0.000139,0.00283,0.386,0.398,170.058,audio_features,7vjzFWG4neQ9YYMN9yZ9hr,spotify:track:7vjzFWG4neQ9YYMN9yZ9hr,https://api.spotify.com/v1/tracks/7vjzFWG4neQ9YYMN9yZ9hr,https://api.spotify.com/v1/audio-analysis/7vjzFWG4neQ9YYMN9yZ9hr,220573,4,GBDNH0400364
0.638,0.805,10,-5.749,0,0.14,0.00311,0.00195,0.195,0.66,160.187,audio_features,5VPGr86ujVuIB04sapIZux,spotify:track:5VPGr86ujVuIB04sapIZux,https://api.spotify.com/v1/tracks/5VPGr86ujVuIB04sapIZux,https://api.spotify.com/v1/audio-analysis/5VPGr86ujVuIB04sapIZux,234547,4,GBDNH0400384
