Unnamed: 0,ISRC,Spotify ID,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
146208,GBAAN7390008,0g8WNNu2RzOAlslvAbq4Z8,Burnin' And Lootin',The Wailers,0.896,0.407,4.0,-9.796,0.0,0.351,0.0383,5.5200000000000005e-06,0.115,0.8310000000000001,133.212,audio_features,0g8WNNu2RzOAlslvAbq4Z8,spotify:track:0g8WNNu2RzOAlslvAbq4Z8,https://api.spotify.com/v1/tracks/0g8WNNu2RzOAlslvAbq4Z8,https://api.spotify.com/v1/audio-analysis/0g8WNNu2RzOAlslvAbq4Z8,254773.0,4.0
409042,GBAYC8700229,6HdbDhysynyeh6C4p7anFI,"Ave verum corpus, K. 618",Wolfgang Amadeus Mozart,0.164,0.0462,2.0,-26.305,1.0,0.0529,0.972,0.961,0.0708,0.0322,128.843,audio_features,6HdbDhysynyeh6C4p7anFI,spotify:track:6HdbDhysynyeh6C4p7anFI,https://api.spotify.com/v1/tracks/6HdbDhysynyeh6C4p7anFI,https://api.spotify.com/v1/audio-analysis/6HdbDhysynyeh6C4p7anFI,204973.0,4.0
145577,US25T0615228,73EIJH2WDdqWgO3FxLnJYg,If Y'all Want War,Ol' Dirty Bastard,0.496,0.512,1.0,-5.475,1.0,0.183,0.0006259999999999,0.0,0.299,0.459,176.67,audio_features,73EIJH2WDdqWgO3FxLnJYg,spotify:track:73EIJH2WDdqWgO3FxLnJYg,https://api.spotify.com/v1/tracks/73EIJH2WDdqWgO3FxLnJYg,https://api.spotify.com/v1/audio-analysis/73EIJH2WDdqWgO3FxLnJYg,228280.0,4.0
126648,USUR10200634,6s50HBTn65NjrObV3ZxNuE,I Will Survive,Gloria Gaynor,0.77,0.775,9.0,-9.571,0.0,0.0495,0.0227,0.0025,0.297,0.8,116.917,audio_features,6s50HBTn65NjrObV3ZxNuE,spotify:track:6s50HBTn65NjrObV3ZxNuE,https://api.spotify.com/v1/tracks/6s50HBTn65NjrObV3ZxNuE,https://api.spotify.com/v1/audio-analysis/6s50HBTn65NjrObV3ZxNuE,296107.0,4.0
309018,USVI29900230,4MbxeSSd7uFop6FbdQD8fD,Send It On,D'Angelo,0.796,0.277,5.0,-10.848,1.0,0.0945,0.12,0.00218,0.261,0.312,127.412,audio_features,4MbxeSSd7uFop6FbdQD8fD,spotify:track:4MbxeSSd7uFop6FbdQD8fD,https://api.spotify.com/v1/tracks/4MbxeSSd7uFop6FbdQD8fD,https://api.spotify.com/v1/audio-analysis/4MbxeSSd7uFop6FbdQD8fD,355560.0,3.0
462484,USAT29800957,6JOHUboZWkIExRlNCo66Qq,Fist of Rage,Kid Rock,0.54,0.931,7.0,-3.512,1.0,0.139,0.00335,0.0,0.0767,0.641,168.066,audio_features,6JOHUboZWkIExRlNCo66Qq,spotify:track:6JOHUboZWkIExRlNCo66Qq,https://api.spotify.com/v1/tracks/6JOHUboZWkIExRlNCo66Qq,https://api.spotify.com/v1/audio-analysis/6JOHUboZWkIExRlNCo66Qq,203867.0,4.0
265562,USRC10001007,17ZBIE4e11bEHLgVG634JK,Ennui,Lou Reed,0.413,0.404,5.0,-11.354,1.0,0.0292,0.786,0.719,0.113,0.198,125.381,audio_features,17ZBIE4e11bEHLgVG634JK,spotify:track:17ZBIE4e11bEHLgVG634JK,https://api.spotify.com/v1/tracks/17ZBIE4e11bEHLgVG634JK,https://api.spotify.com/v1/audio-analysis/17ZBIE4e11bEHLgVG634JK,221773.0,3.0
138130,GBF089601062,5vFHb32rxC8sAsV5gOlZSP,How Long,Dire Straits,0.505,0.584,2.0,-9.728,1.0,0.0251,0.362,0.519,0.128,0.605,90.075,audio_features,5vFHb32rxC8sAsV5gOlZSP,spotify:track:5vFHb32rxC8sAsV5gOlZSP,https://api.spotify.com/v1/tracks/5vFHb32rxC8sAsV5gOlZSP,https://api.spotify.com/v1/audio-analysis/5vFHb32rxC8sAsV5gOlZSP,229400.0,4.0
245336,USMC14750470,1GrIgJQpMFcYzOUbZrbrAZ,White Christmas - 1947 Version,Bing Crosby,0.211,0.255,9.0,-12.964,1.0,0.0328,0.923,0.00383,0.405,0.226,85.841,audio_features,1GrIgJQpMFcYzOUbZrbrAZ,spotify:track:1GrIgJQpMFcYzOUbZrbrAZ,https://api.spotify.com/v1/tracks/1GrIgJQpMFcYzOUbZrbrAZ,https://api.spotify.com/v1/audio-analysis/1GrIgJQpMFcYzOUbZrbrAZ,185280.0,4.0
281850,USSM15800092,25H0Wd1ugPRXGM2LlpjVXM,Summertime,Miles Davis,0.402,0.0675,10.0,-19.553,0.0,0.03,0.735,0.0,0.0959,0.417,107.599,audio_features,25H0Wd1ugPRXGM2LlpjVXM,spotify:track:25H0Wd1ugPRXGM2LlpjVXM,https://api.spotify.com/v1/tracks/25H0Wd1ugPRXGM2LlpjVXM,https://api.spotify.com/v1/audio-analysis/25H0Wd1ugPRXGM2LlpjVXM,197427.0,1.0
