"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower.x","artist_lower.x","track_lower_no_schar.x","track_lower_no_brackets.x","track_lower_no_schar_ws.x","track_lower_no_brackets_ws.x","track_lower_no_brackets_schar","track_lower_no_brackets_schar_ws","track_artists","tracks_artists.x","recording.title","recording.artist.credit.phrase","track_lower.y","artist_lower.y","track_lower_no_schar.y","track_lower_no_brackets.y","track_lower_no_schar_ws.y","track_lower_no_brackets_ws.y","artist_lower_no_bracket","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists.y","distance"
"'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan","music of my heart","'n sync & gloria estefan","music of my heart","'n sync & gloria estefan","musicofmyheart","musicofmyheart","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","Music of My Heart (Pablo Flores club mix)","*NSYNC & Gloria Estefan","music of my heart (pablo flores club mix)","*nsync & gloria estefan","music of my heart  pablo flores club mix ","music of my heart ","musicofmyheartpablofloresclubmix","musicofmyheart","*nsync & gloria estefan","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan",0
"'N Sync & Gloria Estefan","Music Of My Heart",20,"Music Of My Heart","N","Estefan","music of my heart","'n sync & gloria estefan","music of my heart","'n sync & gloria estefan","musicofmyheart","musicofmyheart","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan","Music of My Heart (Hex Hector 12"" club mix)","*NSYNC & Gloria Estefan","music of my heart (hex hector 12"" club mix)","*nsync & gloria estefan","music of my heart  hex hector 12  club mix ","music of my heart ","musicofmyhearthexhector12clubmix","musicofmyheart","*nsync & gloria estefan","nsyncgloriaestefan","nsyncgloriaestefan","musicofmyheart nsyncgloriaestefan",0
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly","girlfriend","'n sync featuring nelly","girlfriend","'n sync featuring nelly","girlfriend","girlfriend","nsyncfeaturingnelly","nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","Girlfriend","*NSYNC feat. Nelly","girlfriend","*nsync feat. nelly","girlfriend","girlfriend","girlfriend","girlfriend","*nsync feat. nelly","nsyncfeatnelly","nsyncfeatnelly","girlfriend nsyncfeatnelly",5
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly","girlfriend","'n sync featuring nelly","girlfriend","'n sync featuring nelly","girlfriend","girlfriend","nsyncfeaturingnelly","nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","Girlfriend (remix)","*NSYNC feat. Nelly","girlfriend (remix)","*nsync feat. nelly","girlfriend  remix ","girlfriend ","girlfriendremix","girlfriend","*nsync feat. nelly","nsyncfeatnelly","nsyncfeatnelly","girlfriend nsyncfeatnelly",5
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly","girlfriend","'n sync featuring nelly","girlfriend","'n sync featuring nelly","girlfriend","girlfriend","nsyncfeaturingnelly","nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","Girlfriend (The Neptunes remix)","*NSYNC feat. Nelly","girlfriend (the neptunes remix)","*nsync feat. nelly","girlfriend  the neptunes remix ","girlfriend ","girlfriendtheneptunesremix","girlfriend","*nsync feat. nelly","nsyncfeatnelly","nsyncfeatnelly","girlfriend nsyncfeatnelly",5
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly","girlfriend","'n sync featuring nelly","girlfriend","'n sync featuring nelly","girlfriend","girlfriend","nsyncfeaturingnelly","nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","Girlfriend (The Neptunes remix) (instrumental)","*NSYNC feat. Nelly","girlfriend (the neptunes remix) (instrumental)","*nsync feat. nelly","girlfriend  the neptunes remix   instrumental ","girlfriend ","girlfriendtheneptunesremixinstrumental","girlfriend","*nsync feat. nelly","nsyncfeatnelly","nsyncfeatnelly","girlfriend nsyncfeatnelly",5
"'N Sync Featuring Nelly","Girlfriend",20,"Girlfriend","N","Nelly","girlfriend","'n sync featuring nelly","girlfriend","'n sync featuring nelly","girlfriend","girlfriend","nsyncfeaturingnelly","nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","girlfriend nsyncfeaturingnelly","Girlfriend (Old Skool Drum + Bass remix)","*NSYNC feat. Nelly","girlfriend (old skool drum + bass remix)","*nsync feat. nelly","girlfriend  old skool drum   bass remix ","girlfriend ","girlfriendoldskooldrumbassremix","girlfriend","*nsync feat. nelly","nsyncfeatnelly","nsyncfeatnelly","girlfriend nsyncfeatnelly",5
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me","112","dance with me","112","dance with me","dance with me","dancewithme","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With Me (instrumental)","112","dance with me (instrumental)","112","dance with me  instrumental ","dance with me ","dancewithmeinstrumental","dancewithme","112","112","112","dancewithme 112",0
"112","Dance With Me",20,"Dance With Me","112","112","dance with me","112","dance with me","112","dancewithme","dancewithme","112","112","dancewithme 112","dancewithme 112","Dance With me (KMillz remix)","112","dance with me (kmillz remix)","112","dance with me  kmillz remix ","dance with me ","dancewithmekmillzremix","dancewithme","112","112","112","dancewithme 112",0
