"","Artist","artist","artist_credit_phrase","Artist_no_featuring","song title","artist mbid","ISRC","release","recording_id","country","date"
"273","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Stuck on You","01809552-4f87-45b0-afff-2c6f0730a3be","USRC10200338","Stuck on You / Fame and Fortune","4757351f-c8f9-4b28-80be-8af77e1294eb","US","1960-03-20"
"274","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Stuck on You","01809552-4f87-45b0-afff-2c6f0730a3be","USRC16005578","Stuck on You / Fame and Fortune","4757351f-c8f9-4b28-80be-8af77e1294eb","US","1960-03-20"
"275","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Stuck on You","01809552-4f87-45b0-afff-2c6f0730a3be","USRC19004482","Stuck on You / Fame and Fortune","4757351f-c8f9-4b28-80be-8af77e1294eb","US","1960-03-20"
"276","Elvis Presley","Elvis Presley","Elvis Presley","Elvis Presley","Stuck on You","01809552-4f87-45b0-afff-2c6f0730a3be","USWD10210254","Stuck on You / Fame and Fortune","4757351f-c8f9-4b28-80be-8af77e1294eb","US","1960-03-20"
"277","Lloyd Banks Featuring Avant","G-Unit","G-Unit feat. 50 Cent, Lloyd Banks & Tony Yayo","Lloyd Banks","I’m Leavin","8a6ccf62-b8fa-46d7-87df-f2dd14e6280d","CA5KR2101957","The Return of the Body Snatchers, Vol. 1","36a9f22e-09a7-4aa8-bdba-6599312189bb","XW","2008-02-04"
"278","Maroon 5","Maroon 5","Maroon 5 ft. Stevie Nicks","Maroon 5","Remedy","0ab49580-c84f-44d4-875f-d83760ea2cfe","USUM72106316","JORDI","1a4c1a44-6962-4c37-b9f8-ec4d4bf7dc62","US","2021-06-11"
"279","Daft Punk","Daft Punk","Daft Punk","Daft Punk","Encom, Part II","056e4f3e-d505-4dad-8ec1-d04f521cbb56","USWD11055153","TRON: Legacy","10e1393b-6ed4-45b7-a461-6889cc340e6e","XE","2010-12-06"
"280","Nas","Nas","Nas feat. Eminem & EPMD","Nas","EPMD 2","cfbc0924-0035-4d6c-8197-f024653af823","QMFME2173712","King’s Disease II","14bd1319-fcbf-4e79-8d31-c7bc1ae891a5","XW","2021-08-06"
"281","Modest Mouse","Modest Mouse","Modest Mouse","Modest Mouse","The Sun Hasn’t Left","a96ac800-bfcb-412a-8a63-0a98df600700","USSM12101868","The Sun Hasn't Left","cd1ec0bf-cc97-47f8-9166-2a4152769133",NA,"2021-06-18"
"282","Eve & Jadakiss","Eve","Eve","Eve","Satisfaction","1ac10f5e-2079-4435-b78f-dda6ecdeba15","USIR10211471","Hot Joints","5c1ab957-72ea-4528-b8fc-f3c44ff444e4","XE","2003"
"283","Ludacris","Ludacris","Ludacris feat. Shawnna, I-20 and Fate Wilson","Ludacris","Get the Fuck Back","0638ba22-040f-438d-83a5-9b670c4adaf5","USDJ20110890","Word of Mouf","22802aee-67f3-4170-afae-89ab2ae95e51","US","2001-11-06"
"284","Prince","Prince","Prince","Prince","Turn It Up","070d193a-845c-479f-980e-bef15710653e","USRH11902899","1999","1965167c-ac87-4cfc-bcc9-00fa43a7fc71","GB","2019-11-29"
"285","Keith Urban","Thomas Rhett","Thomas Rhett featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","Keith Urban","Be a Light","f45da029-7b00-4bf3-962c-0eeb20309cc4","USLXJ2007525","Be a Light","49e93581-a623-4f00-9a22-2ce9fd921643","US","2020-03-30"
"286","Nas Featuring Olu Dara","Jadakiss","Jadakiss feat. Nas","Nas","Rain","cfbc0924-0035-4d6c-8197-f024653af823","USUM71517054","Top 5 Dead or Alive","37f2a22d-aa7f-4e5a-80db-bf6c77ac000c","US","2015-11-20"
"287","Afroman","Afroman","The Afroman & Skeeter Rock","Afroman","Preface","8c332797-2784-45a7-9b5c-3b86f07a03de","USSM19700775","So So Def Bass All-Stars Vol. II","37f6eca7-6d32-4664-9223-d847f4b59591","AF","1997-06-10"
"288","Ricky Martin Featuring Meja","Ricky Martin","Ricky Martin","Ricky Martin","Livin’ la Vida Loca (Spanish version)","70ea63ea-70dc-4b63-951a-2c249d2b3b0a","NLB639920007","Livin’ la vida loca","4d818789-a69c-4cbb-93ca-b1b0ae58a4ec","AU","1999-03-23"
"289","Busta Rhymes","Busta Rhymes","Busta Rhymes featuring Zhané","Busta Rhymes","It’s a Party","10a9ff92-9637-4498-afea-7044b2ab0dc0","USEE10183305","The Coming","926385bb-9876-4a77-ab04-4f9d4a7473d1","MY","1996"
"290","Tori Amos","Tori Amos","Tori Amos","Tori Amos","Highness in the Sky","c0b2500e-0cef-4130-869d-732b23ed9df5","GBUM71505113","The Light Princess (Original Cast Recording)","aad025d3-fa04-481c-a3a2-d75f4831260b","XW","2015-10-09"
"291","The Rolling Stones","The Rolling Stones","The Rolling Stones","The Rolling Stones","Sad Day","b071f9fa-14b0-4217-8e97-eb41da73f598","USA176610310","Singles Collection: The London Years","09d977ea-281e-4fd4-9d9a-4ca2ddebe000","GB","1986"
"292","DMX Featuring Faith Evans","Big Stan","Big Stan feat. DMX","DMX","Walk With Me","f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8","USAE81203038","Exit Wounds: The Album","27e3db76-a616-499d-bc01-7c039a99024c","US","2001-03-20"
"293","Kid Rock Featuring Sheryl Crow Or Allison Moorer","Kid Rock","Kid Rock","Kid Rock","Amen","ad0ecd8b-805e-406e-82cb-5b00c3a3a29e","USAT20704332","Rock n Roll Jesus","85d62f9e-9152-4a89-b719-384c83bd258e","CA","2007-10-09"
"294","Ja Rule","Fat Joe","Fat Joe feat. Ja Rule & Ashanti","Ja Rule","What’s Luv?","b504f625-4ef6-4a5a-81e8-870a61e8dc9c","USAT20110293","Jealous Ones Still Envy (J.O.S.E.)","0467ee7b-4cb2-4d0e-865c-020145bace25","US","2001-12-04"
"295","Elvis Presley vs JXL","Elvis Presley","Elvis Presley","Elvis Presley vs JXL","This Is the Story (takes 1 & 2)","01809552-4f87-45b0-afff-2c6f0730a3be","USRC11901805","American Sound 1969","55f22048-496e-454f-857a-4b2dd96e8017","XW","2019-08-23"
"296","Monifah","Monifah","Monifah","Monifah","Monifah’s Anthem / Bad Girl (clean)","e3ced5f8-085e-45a9-aa63-e67bd5d08cfa","USUR19801493","Monifah’s Anthem / Bad Girl & Suga Suga","a72ec2db-fe00-4eb4-8966-65a0391c4246","US","1999"
"297","Slum Village Featuring Kanye West & John Legend","Slum Village","Slum Village","Slum Village","Forth & Back (Rock Music)","c0c1183e-6940-48ca-8f96-98250fcb3ef1","US25T0614640","Fan-tas-tic","01804715-f7a6-411e-aadf-7981cd91d77b","US","1997"
"298","Shania Twain With Billy Currington Or Mark McGrath","Shania Twain","Shania Twain","Shania Twain","The Hardest Stone","faabb55d-3c9e-4c23-8779-732ac2ee2c0d","USUM72219248","Queen of Me","2b7d4221-957c-468e-ad81-d0d9ddcd9cb6",NA,"2023-02-03"
"299","U2","U2","U2","U2","Invisible ((RED) edit version)","a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432","GBUM71400512","Invisible","46ae09df-c512-4608-b008-79f25d077de9","US","2014-02-02"
"300","Jennifer Lopez","Jennifer Lopez","Jennifer Lopez","Jennifer Lopez","Too Late","f0602f55-1770-483d-89bd-4bae0d0ac086","USSM19900607","On the 6","1c6c65b8-ee0f-4e21-b864-2999869b52ac","US","1999-06-01"
"301","Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet","Timbaland & Magoo","Timbaland & Magoo feat. Missy Elliott","Missy Misdemeanor Elliott","Cop That Shit","a0b8cb9e-7532-45fe-a74c-30e7c4009a39","GBCFB0701601","Solid Steel Presents DJ Food & DK: ""Now, Listen Again!""","36a2e2d0-d779-4c4e-91f3-ad63df722e6c","GB","2007-04-02"
"302","Trace Adkins","Trace Adkins","Trace Adkins","Trace Adkins","There's a Girl in Texas","3dc9c919-508f-4255-b05e-0eed6a28137d","USCN19600092","Dreamin’ Out Loud","a3e840d8-58eb-4407-89fb-7bf02367e5c8","US","1996"
"303","Bowling For Soup","Bowling for Soup","Bowling for Soup","Bowling For Soup","Life After Lisa","bcb95908-5c6e-453a-97fc-d69003d250ff","USJI10200083","Drunk Enough to Dance","df9787d0-a7b2-4595-ae5c-a0a5a7dcef9f","US","2002-08-06"
"304","R. Kelly & Celine Dion","R. Kelly","R. Kelly feat. Future","R Kelly","Tear It Up","c2d25856-a09a-4d15-b404-77dd19c19e63","USRC11301903","Black Panties","8d8b4356-1d14-4ec0-b371-f8da6926e0b3","US","2013-12-06"
"305","T.O.K.","N.O.R.E.","N.O.R.E. feat. T.O.K. & Big Mato","TOK","Big It Up","0fd0e5d2-16f6-4613-ad59-050fe0b1f8b1","USUM70608751","N.O.R.E. y La Familia... ya tú sabe","04c8b33e-f899-49bf-a373-bf91d4468c31","US","2006-07-18"
"306","Ludacris","Ludacris","Ludacris feat. Nate Dogg","Ludacris","Area Codes","0638ba22-040f-438d-83a5-9b670c4adaf5","USDJ20110475","Word of Mouf","c47d9037-2103-480c-87a2-68300bbb13c9","US","2001-11-06"
"307","Mya Featuring Jadakiss","Mýa","Mýa feat. Jadakiss","Mya","Best of Me","7c5e39c3-7645-4e37-968d-a4e45cd38c5d","USIR10000228","Fear of Flying","943269b5-a48a-4f56-bc61-a0ab6b412603","US","2000-04-25"
"308","Beth Hart","Beth Hart","Beth Hart","Beth Hart","Sugar Shack","3fe817fc-966e-4ece-b00a-76be43e7e73c","NLB931902509","Sugar Shack","87f5ec94-0fdc-4303-92ac-cdaf33fe8500","XW","2019-09-20"
"309","Beyonce","Beyoncé","Beyoncé featuring Slim Thug","Beyonce","Check on It (Junior Vasquez club mix)","859d0860-d480-4efd-970c-c05d5f1776b8","USSM10507097","Check on It","6ae3318d-da6f-45c3-b8b9-ef56c2f99bfa","US","2006-01-31"
"310","Mariah Carey Featuring Jay-Z","Mariah Carey","Mariah Carey","Mariah Carey","Make It Happen","494e8d09-f85b-4543-892f-a5096aed1cd4","USSM19100307","Emotions","8a6d357e-220d-46f5-81b3-ee0bf1212ae5","XE","1991-09-13"
"311","Beyonce Featuring Sean Paul","Beyoncé","Beyoncé","Beyonce","COZY","859d0860-d480-4efd-970c-c05d5f1776b8","USSM12207159","RENAISSANCE","50d36ae1-485b-4d50-a4a0-b4645f1dc93c",NA,"2022-07-29"
"312","Depeche Mode","Depeche Mode","Depeche Mode","Depeche Mode","Never Let Me Down Again (Eric Prydz remix)","8538e728-ca0b-4321-b7e5-cff6565dd4c0","GBAJH1100006","Personal Jesus 2011","05853924-5a0f-4d88-adf6-0bb5f52198da","US","2011-05-10"
"313","System Of A Down","System of a Down","System of a Down","System Of A Down","Deer Dance","cc0b7089-c08d-4c10-b6b0-873582c17fd6","USSM10107253","Toxicity","763234a4-c6a0-455b-be7b-980dde8ee88f","SG","2001-08-27"
"314","Busta Rhymes","Busta Rhymes","Busta Rhymes","Busta Rhymes","Shut ’em Down 2002","10a9ff92-9637-4498-afea-7044b2ab0dc0","USJAY0100407","Genesis","d11c59db-7652-4412-bb4e-ebf02550d67b","US","2001"
"315","Aaliyah Featuring Timbaland","Aaliyah","Aaliyah","Aaliyah","I’m So Into You","bc85da58-52d9-457d-ae8d-5d8d4ec870a9","USJI19400002","Age Ain’t Nothing but a Number","8e23c073-83dc-441c-bc02-d56c0ce475d3","US","1994-05-24"
"316","Lenny Kravitz Featuring Jay-Z","Lenny Kravitz","Lenny Kravitz","Lenny Kravitz","Let Love Rule","0ef3f425-9bd2-4216-9dd2-219d2fe90f1f","USV128900022","Let Love Rule","0e214b7a-d7f5-454e-bcd8-ae7c81750cc6","XE","1989-07-23"
"317","Lenny Kravitz Featuring Jay-Z","Lenny Kravitz","Lenny Kravitz","Lenny Kravitz","Let Love Rule","0ef3f425-9bd2-4216-9dd2-219d2fe90f1f","USVI20900127","Let Love Rule","0e214b7a-d7f5-454e-bcd8-ae7c81750cc6","XE","1989-07-23"
"318","Lenny Kravitz Featuring Jay-Z","Lenny Kravitz","Lenny Kravitz","Lenny Kravitz","Let Love Rule","0ef3f425-9bd2-4216-9dd2-219d2fe90f1f","USVI28900022","Let Love Rule","0e214b7a-d7f5-454e-bcd8-ae7c81750cc6","XE","1989-07-23"
"319","'N Sync Featuring Nelly","Alabama","Alabama feat. *NSYNC","N Sync","God Must Have Spent a Little More Time on You","603ba565-3967-4be1-931e-9cb945394e86","USRN19900006","Twentieth Century","d3fc6a21-5f47-49a5-a4e0-b13f1d5a7c5b","US","1999-06-15"
"320","Leslie Carter","Anggun","Anggun, Bénabar, Amel Bent, Patrick Bruel, Corneille, Emma Daumas, Jenifer, Kyo, Leslie, Emmanuel Moire, M. Pokora, Roch Voisine, Stéphanie, Tété","Leslie Carter","L’Or de nos vies","d8b5e5ff-3bbc-4a1b-a52c-bf6af0c6a7da","FR9W10600591","L’Or de nos vies","9da70bbc-267f-4b90-87ba-c42e7c0a9f10","FR","2006-08"
"321","Xscape","Xscape","Xscap3","Xscape","Here for It","cf905ea4-8e81-40d0-9cf9-7aa2af41fa3e","GBKPL1795990","Here for It","e05b2b61-8917-4bf1-8be0-8065e29f0c3e","AF","2018-03-02"
"322","Joey McIntyre","Joey McIntyre","Joey McIntyre","Joey McIntyre","Bewitched","47e4eef9-8ac8-4f25-9da5-d15414228718","QM24S2006734","Talk to Me","46dd14ee-d767-4419-a93b-fc877f4c7adb","US","2006-12-19"
"323","Aerosmith","Aerosmith","Aerosmith","Aerosmith","Amazing","3d2b98e5-556f-4451-a3ff-c50ea18d57cb","USGF19822112","A Little South of Sanity","d7708d14-0e1b-4331-8da2-1525373e4c91","US","1998-11-24"
"324","Incubus","Incubus","Incubus","Incubus","Thieves","e3e0abcd-7671-4482-a9d8-462f5acc9be5","USSM11102202","If Not Now, When?","630b9768-b45f-485c-be49-db2cda7428d3","JP","2011-07-06"
"325","Ludacris Featuring Shawnna","Ludacris","Ludacris feat. Bobby V. & Lil’ Fate","Ludacris","Gold Digger","0638ba22-040f-438d-83a5-9b670c4adaf5","USUG10400315","Shark Tale","7c406c2e-164a-4c4f-a08a-a69f0eb07e79","US","2004-09-21"
"326","Alan Jackson","Alan Jackson","Alan Jackson","Alan Jackson","Rudolph the Red Nosed Reindeer","7291957b-c463-4275-a41c-a104c9e2337f","USAN29600118","Honky Tonk Christmas","9bbdc2c2-dbe4-40d0-95cb-1ef61ef16c73","XW",NA
"327","Slum Village Featuring Kanye West & John Legend","Slum Village","Slum Village","Slum Village","We Be Dem #1","c0c1183e-6940-48ca-8f96-98250fcb3ef1","USBCE1010020","Fantastic, Volume 2.10","62891ada-609b-43f4-9037-f492fb2e0bf4","US","2010-01-05"
"328","Sheryl Crow","Sheryl Crow","Sheryl Crow","Sheryl Crow","Soak Up the Sun","80ccfede-c258-4575-a7ad-c982e9932e0f","USAM10200092","Soak Up the Sun","136e5222-08cf-4c3a-b97b-6b4590361127","GB","2002-04-01"
"329","Fleetwood Mac","Fleetwood Mac","Fleetwood Mac","Fleetwood Mac","Instrumental","bd13909f-1c29-4c27-a874-d4aaf27c5b1a","GBARL1801772","Before the Beginning: 1968–1970 Live & Demo Sessions","0f4717a9-1f80-46d7-807d-b977902dac61","AF","2019-11-15"
"330","Brian McKnight Featuring Jermaine Dupri","Brian McKnight","Brian McKnight","Brian McKnight","Prelude","bf75ef89-7b4c-4771-ac43-4d5c10617190","USMO10110666","Superhero","d424d4e2-05c6-43a8-86fd-917d37c4e164","US","2001-08-21"
"331","Uncle Kracker Featuring Dobie Gray","Uncle Kracker","Uncle Kracker","Uncle Kracker","Follow Me","1a02e1e4-000e-46fa-83de-f3a36674e4fc","USAT20001594","KISA, Volume 1: Found an Old Friend","abd7cf27-7490-4bdc-86ad-5f53742fc02e","US","2001-07-25"
"332","Fabolous Featuring Mike Shorey & Lil' Mo","Fabolous","Fabolous feat. Ne-Yo","Fabolous","Makin Love","d2299099-e617-46dd-b013-ba0b4c72bc63","USUM70972142","Loso's Way","e544d6fe-6803-4f68-a401-3b619e4c55f6","US","2009-07-28"
"333","Moby Featuring Gwen Stefani","Moby","Moby ft. Nicola Sirkis","Moby","This Is Not Our World (Ce n’est pas notre monde)","8970d868-0723-483b-a75b-51088913d3d4","GB3AD2210000","This Is Not Our World (Ce n’est pas notre monde)","3acfed86-73bb-46e6-b057-1f300e7acf14","XW","2022-09-08"
"334","Common Featuring Mary J. Blige","LL Cool J","LL Cool J feat. Mary J. Blige","Common","Favorite Flavor","db76c5ca-d555-4f09-b1db-baa1b713d875","USUM70601367","Todd Smith","6be4263c-2a5f-401a-8121-65222c33692b","XW","2006-01-01"
"335","Mariah Carey","Mariah Carey","Mariah Carey feat. Miguel","Mariah Carey","#Beautiful","494e8d09-f85b-4543-892f-a5096aed1cd4","USUM71306669","#Beautiful","e2f42f33-cc80-41a4-8e5f-858f96b417e5","US","2013-05-07"
"336","Three The... G. Dep, P. Diddy & Black Rob","G. Dep","G. Dep featuring Black Rob","Three The G Dep","One Way","14f533a1-2944-40ba-b5e1-ed97416e18d5","USBB40100243","Child of the Ghetto","bc66e9cd-a9ea-4a28-bde7-3dd3e2bf3b77","US","2001-11-20"
"337","John Legend","John Legend","John Legend","John Legend","All of Me","75a72702-a5ef-4513-bca5-c5b944903546","USSM11303954","Now That’s What I Call a Love Song","3714b5d5-405b-4e5b-a2af-a972599fc101","DE","2023"
"338","Ja Rule Featuring Bobby Brown","Ja Rule","Ja Rule & Vita","Ja Rule","We Murderers Baby","b504f625-4ef6-4a5a-81e8-870a61e8dc9c","USPO19900509","Next Friday","b3701cf9-3154-4556-98a0-16e16a53c36a","BR","1999-12-14"
"339","Modest Mouse","Modest Mouse","Modest Mouse","Modest Mouse","Gravity Rides Everything","a96ac800-bfcb-412a-8a63-0a98df600700","USSM10004737","The Moon & Antarctica","92c14240-5da7-4f42-a5fe-2da7403bc70f","US","2000-06-13"
"340","R. Kelly Featuring Jay-Z","R. Kelly","R. Kelly featuring Fat Joe","R Kelly","Who’s That (edited)","c2d25856-a09a-4d15-b404-77dd19c19e63","USJI10300054","Chocolate Factory","3d3940e0-27df-4178-aeea-7a002cbca445","GB","2003-02-17"
"341","Erykah Badu Featuring Common","DRAM","D.R.A.M. feat. Erykah Badu","Erykah Badu","WiFi","321531fc-db73-4ffa-a959-61a61a2908c1","USUYG1114363","Big Baby D.R.A.M.","67d51198-ff5b-4411-991b-ebf3c8701eaf","XW","2016-10-21"
"342","Red Hot Chili Peppers","Red Hot Chili Peppers","Red Hot Chili Peppers","Red Hot Chili Peppers","We Turn Red","8bfac288-ccc5-448d-9573-c33ea2aa5c30","USWB11600618","We Turn Red","fdebad88-464a-4ed8-bd10-8f59e2a00b59","XW","2016-06-10"
"343","Elvis Presley vs JXL","Elvis Presley","Elvis Presley","Elvis Presley vs JXL","I Need Your Love Tonight","01809552-4f87-45b0-afff-2c6f0730a3be","USRC10301069","I Need Your Love Tonight / A Fool Such As I","1cafe045-df94-4970-b47f-90182d4da5ff","US","1959-03"
"344","Bowling For Soup","Bowling for Soup","Bowling for Soup","Bowling For Soup","The Bitch Song","bcb95908-5c6e-453a-97fc-d69003d250ff","USJI10000022","Tell Me When to Whoa!","25b32408-1077-42b8-8cf3-b80686e11413","US","1999-06-15"
"345","Bowling For Soup","Bowling for Soup","Bowling for Soup","Bowling For Soup","The Bitch Song","bcb95908-5c6e-453a-97fc-d69003d250ff","USZCN1100027","Tell Me When to Whoa!","25b32408-1077-42b8-8cf3-b80686e11413","US","1999-06-15"
"346","Christina Aguilera Featuring Redman","Christina Aguilera","Christina Aguilera featuring Alicia Keys","Christina Aguilera","Impossible","b202beb7-99bd-47e7-8b72-195c8d72ebdd","USRC10201080","Stripped","f2d82cae-3623-4a99-bb0d-2a34ca7aa2d5","DE","2002-10-28"
"347","Jay-Z/Linkin Park","JAY-Z","Jay-Z & Kanye West","JayZ","Murder to Excellence","f82bcf78-5b69-4622-a5ef-73800768d9ac","USUM71111672","Watch the Throne","a3f72678-85a6-4c55-89a1-4c4c7c75daaa","AI","2011-08-08"
"348","Willie Max Featuring Raphael Saadiq","Kelis","Kelis feat. Raphael Saadiq","Willie Max","Attention","a2eb319d-a45e-43c3-bb14-d0ffb577222c","USAR10301296","Tasty","2432f808-8dce-4969-b49f-6c431aac749a","GB","2003-12-08"
"349","Killer Mike Featuring Big Boi","Logic","Logic feat. Killer Mike","Killer Mike","Confess","47864525-aea7-439a-800f-17c57e51cbcc","USUM71702802","Everybody","994f9f30-cb18-44ac-80ae-7f144a4796d8","US","2017-05-05"
"350","Papa Roach","Papa Roach","Papa Roach","Papa Roach","Top of the World (Aelonia remix)","c5eb9407-caeb-4303-b383-6929aa94021c","USDPK2000213","Greatest Hits Vol.2: The Better Noise Years","b9458b27-ce25-44c6-8ef9-6cd32867ed7e","XW","2021-03-19"
"351","Mos Def & Pharoahe Monch Featuring Nate Dogg","Pharoahe Monch","Pharoahe Monch feat. Black Thought","Mos Def","Rapid Eye Movement","a4d62ced-2f87-488a-9c76-ab88ea7a2cbf","USQY51410017","PTSD: Post Traumatic Stress Disorder","369c9328-e3de-4705-bb66-f02b843a5b41","US","2014-04-15"
"352","2Pac","S. Mos","S. Mos feat. Tupac Shakur & Ray Bryant","2Pac","The Thrill Is Gone","382f1005-e9ab-4684-afd4-0bdae4ee37f2","FR0U91000287","Hip Hop and Jazz Mixed Up","7811c5ca-31c2-4d4d-bf7c-df2b694f2722","FR","2010-11-22"
"353","Busta Rhymes & Mariah Carey Featuring The Flipmode Squad","Ja Rule","Ja Rule featuring Jay Z, Vita, Black Child, Tah Murda, Memphis Bleek, Busta Rhymes","Busta Rhymes","Holla Holla (remix)","10a9ff92-9637-4498-afea-7044b2ab0dc0","USDJ29905437","Irv Gotti Presents…The Murderers","a8df8c57-824a-4f70-8716-ab83f2deea55","US","2000-02-15"
"354","Kenny Rogers With Alison Krauss & Billy Dean","Kenny Rogers","Kenny Rogers","Kenny Rogers","Evergreen","c3d14b41-a48d-488f-bfed-ce0597bb0b1f","CAM460440332","Golden Legends","0e4a8f87-ee59-4c15-9f49-98cf6d061747","AF","2020-04-03"
"355","Ludacris, LL Cool J & Keith Murray","Ludacris","Ludacris","Ludacris","Diamond in the Back","0638ba22-040f-438d-83a5-9b670c4adaf5","USDJ20300802","Chicken-N-Beer","183695fd-3e8b-44b7-8251-a8bf8e8f0c2c","GB","2003-10-06"
"356","Pharrell Featuring Jay-Z","Rihanna","Rihanna feat. Jay-Z","Pharrell","Umbrella (Lindbergh Palace remix)","f82bcf78-5b69-4622-a5ef-73800768d9ac","USUM70735015","Umbrella (Remixes)","3cdbe9be-f723-4e0b-a253-384a17fc6f04","US","2007-05"
"357","R. Kelly Featuring Jay-Z","Snoop Dogg","Snoop Dogg feat. R. Kelly","R Kelly","That’s That Shit","c2d25856-a09a-4d15-b404-77dd19c19e63","USUM70613056","Tha Blue Carpet Treatment","1f5642e2-0f73-4435-8b94-0707d0609f00","XE","2006-11-18"
"358","Snoop Dogg Featuring Xzibit & Nate Dogg","Snoop Dogg","Snoop Dogg feat. Big Bub","Snoop Dogg","Love Around the World","f90e8b26-9e52-4669-a5c9-e28529c47894","USUYG1137837","Neva Left","7691aafc-99e2-42ee-b879-35199a268564","US","2017-05-19"
"359","Toni Braxton Featuring Loon","Toni Braxton","Toni Braxton","Toni Braxton","I Don’t Want To","3c8a8696-e176-4c46-a2d3-48b6b1525c7f","USLF29600122","Un-Break My Heart: The Best of Toni Braxton","0adf4771-cbbc-41f8-b450-f84380941de8","AF","2020-07-10"
"360","De La Soul Featuring Chaka Khan","De La Soul","De La Soul","De La Soul","Paul’s Revenge","a8ebde98-7e91-46c7-992c-90039ba42017","USTB10300010","Buhlo<U+035E>one Mind State","f2dbeacd-57df-488f-bc69-bbf6e7bc26c6","US","1993-09-21"
"361","Brian McKnight Featuring Jermaine Dupri","Brian McKnight","Brian McKnight","Brian McKnight","Don't Let Me Go","bf75ef89-7b4c-4771-ac43-4d5c10617190","USMO19883577","Bethlehem","6a30ddc8-e27c-4208-8aff-684564fa7a29","GB","1998-10-20"
"362","JAY-Z","JAY-Z","JAY-Z","JAYZ","Squeeze 1st","f82bcf78-5b69-4622-a5ef-73800768d9ac","USDJ20010579","The Dynasty: Roc La Familia 2000","608386f8-c931-4ded-98e5-a8ee7071a61b","DZ","2014-08-12"
"363","Public Announcement","R. Kelly","R. Kelly & Public Announcement","Public Announcement","Slow Dance (Hey Mr. DJ) (video mix)","eedac904-9fd2-43f1-af88-cc0ee2646a9e","USRC11300250","The Essential R. Kelly","ccef5202-d554-4c8d-92bf-bbeb385d4d7c","US","2014-05-16"
"364","Faith Evans","The Notorious B.I.G.","The Notorious B.I.G. feat. Faith Evans & Mary J. Blige","Faith Evans","One More Chance / Stay With Me (remix)","ebcd0bad-75ef-4203-b7b3-7af38a9ef198","USRH11603906","Bad Boy 20th Anniversary Box Set Edition","53fefd2c-3d45-42ec-afca-b281a1610f2c","US","2016-08-12"
"365","Lenny Kravitz","Lenny Kravitz","Lenny Kravitz","Lenny Kravitz","Circus","0ef3f425-9bd2-4216-9dd2-219d2fe90f1f","USVI29501027","Circus","666e4210-90ef-42aa-89a8-4946ad8872ee","JP","1995-09-06"
"366","Jay-Z Featuring Memphis Bleek & Amil","JAY-Z","Jay-Z, Beanie Sigel and Memphis Bleek feat. Freeway","JayZ","1-900-Hustler","f82bcf78-5b69-4622-a5ef-73800768d9ac","USDJ20010556","The Dynasty: Roc La Familia","b7ed6cbb-65d0-42a2-b658-f64950a14609","US","2000-10-31"
"367","Janet Featuring Missy Elliott, P. Diddy & Carly Simon","Janet Jackson","Janet","Janet","Spending Time With You","6be2828f-6c0d-4059-99d4-fa18acf1a296","USVI20400119","Damita Jo","36faea82-b493-47e1-8674-582ba0e9f058","JP","2004-03-22"
"368","Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait","Jimmy Buffett","Jimmy Buffett","Jimmy Buffett","Far Side of the World","16fdd9af-467f-47ce-bd29-3413b445b90f","USMB50500033","Live in Hawaii","47104bbf-0b48-4268-8420-d1ca50d2bf8c","US","2005-03-22"
"369","Elton John","Elton John","Elton John","Elton John","Love Song","b83bc61f-8451-4a5d-8b8e-7e9ed295e822","GBAMB9500021","Tumbleweed Connection","1b44891b-776c-43b9-9599-89c6d5bcf424","GB","1970-10-30"
"370","Garth Brooks as Chris Gaines","Garth Brooks","Garth Brooks","Garth Brooks as Chris Gaines","Belleau Wood","b76645c5-78b0-4e4c-8f95-003f40013a45","USCN19700117","Sevens","e4f26d7b-97ab-403f-bd4c-a76c9ed973dc","BR","1997-11-25"
"371","Jay-Z Featuring Beanie Sigel & Amil","JAY-Z","Jay-Z","JayZ","Meet the Parents","f82bcf78-5b69-4622-a5ef-73800768d9ac","USDJ20201237","The Blueprint²: The Gift & The Curse","c0a3492c-2c95-4eac-b755-5db085294a60","US","2002-11-12"
"372","JAY-Z","Juvenile","Juvenile feat. Jay-Z","JAYZ","Ha (remix)","f82bcf78-5b69-4622-a5ef-73800768d9ac","USCM50200166","400 Degreez","a3a285cc-603b-4c49-bc14-2d56a1dab48d","US","1998-11-03"
"373","EVE & Nokio","Eve","Eve","EVE","You Had Me, You Lost Me","1ac10f5e-2079-4435-b78f-dda6ecdeba15","USIR10110157","Scorpion","d8949331-12ae-4e5f-b7ef-ae2a4ff85e34","GB","2001-03-05"
"374","Nirvana","Nirvana","Nirvana","Nirvana","In Bloom (Smart Sessions)","5b11f4ce-a62d-471e-81fc-a69a8278c7da","USSUB1100001","Nevermind","e0b34092-01e8-40b9-90c4-80aba2a89bb2","XE","2011-09-23"
