"Artist","Track","count","Track_no_brackets","artist_first_word","artist_last_word","track_lower","artist_lower","track_lower_no_brackets","track_lower_no_schar","track_lower_no_brackets_schar_ws","track_lower_no_brackets_ws","artist_lower_no_brackets","artist_lower_no_bracket_schar","artist_lower_no_bracket_schar_ws","tracks_artists"
"Evanescence Featuring Paul McCoy","Bring Me To Life",32,"Bring Me To Life","Evanescence","McCoy","bring me to life","evanescence featuring paul mccoy","bring me to life","bring me to life","bringmetolife","bringmetolife","evanescence featuring paul mccoy","evanescence featuring paul mccoy","evanescencefeaturingpaulmccoy","bringmetolife bringmetolife"
"Houston Featuring Chingy, Nate Dogg & I-20","I Like That",20,"I Like That","Houston","20","i like that","houston featuring chingy, nate dogg & i-20","i like that","i like that","ilikethat","ilikethat","houston featuring chingy, nate dogg & i-20","houston featuring chingy  nate dogg   i 20","houstonfeaturingchingynatedoggi20","ilikethat ilikethat"
"Iconz Featuring Tony Manshino","Get Crunked Up",5,"Get Crunked Up","Iconz","Manshino","get crunked up","iconz featuring tony manshino","get crunked up","get crunked up","getcrunkedup","getcrunkedup","iconz featuring tony manshino","iconz featuring tony manshino","iconzfeaturingtonymanshino","getcrunkedup getcrunkedup"
"India.Arie","Little Things",13,"Little Things","India","Arie","little things","india.arie","little things","little things","littlethings","littlethings","india.arie","india arie","indiaarie","littlethings littlethings"
"Isyss Featuring Jadakiss","Day + Night",4,"Day + Night","Isyss","Jadakiss","day + night","isyss featuring jadakiss","day + night","day   night","daynight","day+night","isyss featuring jadakiss","isyss featuring jadakiss","isyssfeaturingjadakiss","day+night daynight"
"J-Kwon Featuring Sadiyyah","You & Me",7,"You & Me","J","Sadiyyah","you & me","j-kwon featuring sadiyyah","you & me","you   me","youme","you&me","j-kwon featuring sadiyyah","j kwon featuring sadiyyah","jkwonfeaturingsadiyyah","you&me youme"
"Jamie O'Neal","There Is No Arizona",20,"There Is No Arizona","Jamie","Neal","there is no arizona","jamie o'neal","there is no arizona","there is no arizona","thereisnoarizona","thereisnoarizona","jamie o'neal","jamie o neal","jamieoneal","thereisnoarizona thereisnoarizona"
"Jamie O'Neal","When I Think About Angels",20,"When I Think About Angels","Jamie","Neal","when i think about angels","jamie o'neal","when i think about angels","when i think about angels","whenithinkaboutangels","whenithinkaboutangels","jamie o'neal","jamie o neal","jamieoneal","whenithinkaboutangels whenithinkaboutangels"
"Jay-Z Featuring Big Jaz","Jigga What...",3,"Jigga What...","Jay","Jaz","jigga what...","jay-z featuring big jaz","jigga what...","jigga what   ","jiggawhat","jiggawhat...","jay-z featuring big jaz","jay z featuring big jaz","jayzfeaturingbigjaz","jiggawhat... jiggawhat"
"JC Chasez Featuring Dirt McGirt","Some Girls (Dance With Women)",5,"Some Girls ","JC","McGirt","some girls (dance with women)","jc chasez featuring dirt mcgirt","some girls ","some girls ","somegirls","somegirls","jc chasez featuring dirt mcgirt","jc chasez featuring dirt mcgirt","jcchasezfeaturingdirtmcgirt","somegirls somegirls"
