Unnamed: 0,ISRC,spotify_ID,artist,song_title
63,USSM17100690,2j9X1pIun8xgKcqcIC90AA,Erik Truffaz,Sweet Mercy - Bugge Wesseltoft Remix
64,USSM17100690,01o0FYaGyqzZ71E1g0qAgk,The Cure,Do the Hansa
65,USSM17100690,29WMgCWYva0YuxHa8Aq79k,Lord Have Mercy,Holy Water
66,USSM17100690,6V6yZqBmbR5GJYdMgJZYLB,Dominic Miller,Altea
67,USSM17100690,7dPzw7DUocF7QPn79MImFb,Lionel Richie,Tender Heart
68,USSM17100690,5XPqAialIXtHTc8ybyw0ZH,Los Fabulosos Cadillacs,"Necesito Una Nariz De Payaso, ¿No Me Prestas La Tuya...?"
69,USSM17100690,4Y5S5ESPsYaeJV4CUfMFDQ,Mexiclan,Mi Papa Lloraba
70,USSM17100690,3W75H8MxEZtKeyMzlic6Nc,Number One Gun,Of Two Bearded Men
71,USSM17100690,2f5N826udWfjT9iomeaBJt,Matchbox Twenty,If You're Gone
72,USSM17100690,4U8w9neP9XyOmJlrU0Di1g,The Monkees,Goin' Down
73,USSM17100690,7LKTHDH18Zy5wZVzQihZ7X,LeAnn Rimes,The Safest Place
74,USSM17100690,4txYSM1NWMMTSuQQFrVSu4,Aesop Rock,Basic Cable
75,USSM17100690,0Vz3vwmmZJAdw3bHR1nlvm,Armin van Buuren,Astronauts
76,USSM17100690,2cACVGGiXPzEotNWXEB2yg,Love,Live and Let Live
77,USSM17100690,7Al0ADUt8SCPiQIBbTcNdR,Pearl Jam,Spin the Black Circle - Remastered
78,USSM17100690,17yvgAlYmX2VWiwPUmaw0M,Cecil Armstrong Gibbs,"Miniature Dance Suite, Op. 124: March"
79,USSM17100690,7IHVI2CQlJJdFS60KE5iIK,The Verve,History - 2004 Digital Remaster
80,USSM17100690,3l2pObHGPzGmgRWDlAbUJN,Ramsey Lewis Trio,"The ""In"" Crowd - Live At The Bohemian Caverns, Washington, D.C., 1965"
81,USSM17100690,7Fm18iSwrrv6NU5lPoSlV4,Rick James,"Give It To Me Baby - 1981/Live In Long Beach, CA"
82,USSM17100690,2GD5OWfT1wvae1TJ8j6OwU,TOTO,Don't Chain My Heart
83,USSM17100690,2uDYJm6x2aDDV7QP1pp9eE,TNV,Televisual
84,USSM17100690,3NqzZ9c9mUiKrsEUHceN3c,Bent,Swollen
85,USSM17100690,3EPbPZEmURloUzRMlCybOD,Various Artists,[Untitled Hidden Track]
86,USSM17100690,23UvwN9yAowpwPLiCmQ3Qz,The Rubinoos,Gone Today
87,USSM17100690,0fyUp7jhkUQDyINT50CzdV,Megadeth,"Dread and the Fugitive Mind (Live at The Web Theatre, Phoenix, AZ, 16th Nov 2001)"
88,USSM17100690,5g1EeeeswfwBE3ZGY3YJhR,Luz Casal,Quisiera ser y no puedo
89,USSM17100690,5wlHqvWHUBAGDqoRqVILx8,Pete Rock,Nothin' Lesser - Jamie's Mix
90,USSM17100690,28O4QR1TELuXdcnVw9Q6Kt,Chumbawamba,Tubthumping - Radio Edit
91,USSM17100690,7qinPLZ41lgIGuT40EAFs0,Connie Francis,My Heart Has A Mind Of Its Own
